Date : 2023-05-15 16:02:53
Directory : c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2
Total : 693 files,  90245 codes, 15306 comments, 9257 blanks, all 114808 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\monitors.xml                                                                    | XML             |          2 |          0 |          1 |          3 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\publish.xml                                                                     | XML             |          4 |          0 |          1 |          5 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\servers.xml                                                                     | XML             |          6 |          0 |          1 |          7 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp-data.xml                                                                    | XML             |          4 |          0 |          1 |          5 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\catalina.properties                                                   | Java Properties |        104 |        107 |          9 |        220 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\context.xml                                                           | XML             |          6 |         21 |          2 |         29 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\server.xml                                                            | XML             |         23 |        121 |         14 |        158 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\tomcat-users.xml                                                      | XML             |          3 |         49 |          0 |         52 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\web.xml                                                               | XML             |      4,090 |        598 |         47 |      4,735 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\ROOT\WEB-INF\web.xml                                            | XML             |          3 |          0 |          0 |          3 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\ActualizarDBDAO.class | Java            |         58 |          0 |          0 |         58 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\BorrarDBDAO.class     | Java            |         25 |          0 |          0 |         25 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\ConnectionDAO.class   | Java            |         17 |          0 |          0 |         17 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\ConvertJson.class     | Java            |         72 |          0 |          0 |         72 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\IntroducirDBDAO.class | Java            |         53 |          0 |          0 |         53 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\RecuperarDBDAO.class  | Java            |         68 |          0 |          0 |         68 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\Requests.class        | Java            |        119 |          0 |          0 |        119 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo\Cita.class                 | Java            |         30 |          0 |          0 |         30 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo\Cliente.class              | Java            |         16 |          0 |          0 |         16 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo\Departamento.class         | Java            |         23 |          0 |          0 |         23 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo\Empleado.class             | Java            |         30 |          0 |          0 |         30 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo\Persona.class              | Java            |         22 |          0 |          0 |         22 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo\Vehiculo.class             | Java            |         62 |          0 |          0 |         62 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\attacklog.html                                    | HTML            |         40 |          0 |          3 |         43 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\configurar.html                                   | HTML            |        141 |          0 |         23 |        164 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\configurarStock.html                              | HTML            |         75 |          0 |          2 |         77 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\cuenta.html                                       | HTML            |        135 |          0 |         16 |        151 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\fichaEmpleado.html                                | HTML            |         85 |          0 |          2 |         87 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\fichaVehiculo.html                                | HTML            |        131 |          0 |         14 |        145 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\funcionesSistema.html                             | HTML            |         23 |          0 |          2 |         25 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\index.html                                        | HTML            |        134 |          0 |          0 |        134 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\indexPrivado.html                                 | HTML            |         54 |          0 |          0 |         54 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\iniciarSesion.html                                | HTML            |         35 |          0 |          2 |         37 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons\attacks\attacks.json                        | JSON            |          3 |          0 |          0 |          3 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons\vehiculos\claseASedan.json                  | JSON            |         14 |          0 |          0 |         14 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons\vehiculos\claseB2023.json                   | JSON            |         14 |          0 |          0 |         14 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons\vehiculos\claseESedan.json                  | JSON            |         14 |          0 |          0 |         14 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\registroCliente.html                              | HTML            |         75 |          0 |          2 |         77 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\registroEmpleado.html                             | HTML            |         82 |          0 |          2 |         84 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\resources\img\logo\mercedes-benz-1.svg            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\scripts.js                                        | JavaScript      |        268 |          9 |         40 |        317 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\sobreNosotros.html                                | HTML            |         59 |          0 |          2 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\stock.html                                        | HTML            |         95 |          0 |          2 |         97 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\styles.css                                        | CSS             |        873 |         17 |        191 |      1,081 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales\avisoLegal.html                     | HTML            |         86 |          0 |          1 |         87 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales\cookies.html                        | HTML            |         63 |          0 |          0 |         63 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales\politicaPrivacidad.html             | HTML            |         81 |          0 |          0 |         81 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\verEmpleados.html                                 | HTML            |         51 |          0 |          0 |         51 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.sse.core\task-tags.properties                                                               | Java Properties |          1 |          2 |          1 |          4 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.xml.core\default_catalog.xml                                                                | XML             |          5 |          0 |          1 |          6 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.xml.core\system_catalog.xml                                                                 | XML             |        231 |          0 |          1 |        232 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\version.ini                                                                                                          | Ini             |          3 |          0 |          1 |          4 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\catalina.properties                                                                            | Java Properties |        104 |        107 |          9 |        220 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\context.xml                                                                                    | XML             |          6 |         21 |          2 |         29 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\server.xml                                                                                     | XML             |         23 |        121 |         14 |        158 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\tomcat-users.xml                                                                               | XML             |          3 |         49 |          0 |         52 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\web.xml                                                                                        | XML             |      4,090 |        598 |         47 |      4,735 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\CONTRIBUTING.md                                                                                           | Markdown        |        119 |          0 |         47 |        166 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\README.md                                                                                                 | Markdown        |         60 |          0 |         22 |         82 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\catalina-tasks.xml                                                                                    | XML             |         17 |         21 |          2 |         40 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\catalina.bat                                                                                          | Batch           |        352 |          0 |         38 |        390 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\catalina.sh                                                                                           | Shell Script    |        462 |        166 |         61 |        689 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\ciphers.bat                                                                                           | Batch           |         50 |          0 |          9 |         59 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\ciphers.sh                                                                                            | Shell Script    |         27 |         25 |          9 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\configtest.bat                                                                                        | Batch           |         50 |          0 |          9 |         59 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\configtest.sh                                                                                         | Shell Script    |         27 |         25 |          9 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\daemon.sh                                                                                             | Shell Script    |        226 |         49 |         19 |        294 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\digest.bat                                                                                            | Batch           |         50 |          0 |          9 |         59 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\digest.sh                                                                                             | Shell Script    |         27 |         25 |          9 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\makebase.bat                                                                                          | Batch           |         97 |          0 |         18 |        115 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\makebase.sh                                                                                           | Shell Script    |         59 |         38 |         19 |        116 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\service.bat                                                                                           | Batch           |        219 |          0 |         19 |        238 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\setclasspath.bat                                                                                      | Batch           |         79 |          0 |         16 |         95 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\setclasspath.sh                                                                                       | Shell Script    |         62 |         30 |          7 |         99 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\shutdown.bat                                                                                          | Batch           |         50 |          0 |          9 |         59 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\shutdown.sh                                                                                           | Shell Script    |         27 |         25 |          9 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\startup.bat                                                                                           | Batch           |         50 |          0 |          9 |         59 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\startup.sh                                                                                            | Shell Script    |         27 |         25 |          9 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\tool-wrapper.bat                                                                                      | Batch           |         98 |          0 |         13 |        111 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\tool-wrapper.sh                                                                                       | Shell Script    |         70 |         64 |         20 |        154 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\version.bat                                                                                           | Batch           |         50 |          0 |          9 |         59 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\version.sh                                                                                            | Shell Script    |         27 |         25 |          9 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\catalina.properties                                                                                  | Java Properties |        104 |        107 |          9 |        220 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\context.xml                                                                                          | XML             |          6 |         23 |          3 |         32 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\jaspic-providers.xml                                                                                 | XML             |          6 |         17 |          1 |         24 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\jaspic-providers.xsd                                                                                 | XML             |         37 |         16 |          0 |         53 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\logging.properties                                                                                   | Java Properties |         31 |         31 |         18 |         80 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\server.xml                                                                                           | XML             |         32 |        124 |         15 |        171 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\tomcat-users.xml                                                                                     | XML             |          6 |         50 |          1 |         57 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\tomcat-users.xsd                                                                                     | XML             |         43 |         16 |          1 |         60 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\conf\web.xml                                                                                              | XML             |      4,094 |        599 |         48 |      4,741 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\ROOT\WEB-INF\web.xml                                                                              | XML             |         12 |         16 |          3 |         31 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\ROOT\asf-logo-wide.svg                                                                            | XML             |        278 |         17 |          1 |        296 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\ROOT\index.jsp                                                                                    | HTML            |        215 |          0 |          5 |        220 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\ROOT\tomcat.css                                                                                   | CSS             |        306 |         16 |         32 |        354 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\ROOT\tomcat.svg                                                                                   | XML             |        932 |         17 |         18 |        967 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\META-INF\context.xml                                                                         | XML             |          5 |         16 |          1 |         22 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\WEB-INF\jsp\403.jsp                                                                          | HTML            |         35 |          6 |          4 |         45 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\WEB-INF\web.xml                                                                              | XML             |         16 |         16 |          3 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\aio.html                                                                                     | HTML            |         48 |          0 |          7 |         55 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\annotationapi\index.html                                                                     | HTML            |         14 |         16 |          5 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\api\index.html                                                                               | HTML            |         14 |         16 |          5 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\deployment.html                                                                       | HTML            |        181 |          0 |         21 |        202 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\index.html                                                                            | HTML            |         41 |          0 |          4 |         45 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\installation.html                                                                     | HTML            |         50 |          0 |         21 |         71 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\introduction.html                                                                     | HTML            |         52 |          0 |          6 |         58 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\processes.html                                                                        | HTML            |        214 |          0 |         45 |        259 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\sample\build.xml                                                                      | XML             |        102 |        297 |        110 |        509 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\sample\index.html                                                                     | HTML            |         39 |         16 |          0 |         55 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\sample\src\mypackage\Hello.java                                                       | Java            |         35 |         34 |         15 |         84 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\sample\web\WEB-INF\web.xml                                                            | XML             |         20 |         16 |          5 |         41 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\sample\web\hello.jsp                                                                  | HTML            |         31 |          0 |          7 |         38 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\sample\web\index.html                                                                 | HTML            |         21 |         15 |          4 |         40 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\appdev\source.html                                                                           | HTML            |        226 |          0 |         25 |        251 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\apr.html                                                                                     | HTML            |        105 |          0 |         26 |        131 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\architecture\index.html                                                                      | HTML            |         31 |          0 |          4 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\architecture\overview.html                                                                   | HTML            |         98 |          0 |          6 |        104 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\architecture\requestProcess.html                                                             | HTML            |         36 |          0 |          7 |         43 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\architecture\startup.html                                                                    | HTML            |         36 |          0 |          6 |         42 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\balancer-howto.html                                                                          | HTML            |         15 |          0 |          4 |         19 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\building.html                                                                                | HTML            |        184 |          0 |         39 |        223 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\cdi.html                                                                                     | HTML            |        133 |          0 |         12 |        145 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\cgi-howto.html                                                                               | HTML            |        118 |          0 |         15 |        133 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\changelog.html                                                                               | HTML            |     13,504 |          0 |          0 |     13,504 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\class-loader-howto.html                                                                      | HTML            |        242 |          0 |         24 |        266 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\cluster-howto.html                                                                           | HTML            |        601 |          0 |         50 |        651 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\comments.html                                                                                | HTML            |         60 |          0 |         20 |         80 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\ajp.html                                                                              | HTML            |        718 |          0 |         40 |        758 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\automatic-deployment.html                                                             | HTML            |        472 |          0 |         26 |        498 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-channel.html                                                                  | HTML            |         90 |          0 |          8 |         98 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-deployer.html                                                                 | HTML            |         61 |          0 |          4 |         65 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-interceptor.html                                                              | HTML            |        265 |          0 |         10 |        275 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-listener.html                                                                 | HTML            |         26 |          0 |          4 |         30 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-manager.html                                                                  | HTML            |        265 |          0 |          4 |        269 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-membership.html                                                               | HTML            |        268 |          0 |          8 |        276 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-receiver.html                                                                 | HTML            |        116 |          0 |          1 |        117 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-sender.html                                                                   | HTML            |        133 |          0 |          0 |        133 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster-valve.html                                                                    | HTML            |        125 |          0 |          3 |        128 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cluster.html                                                                          | HTML            |        169 |          0 |          5 |        174 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\context.html                                                                          | HTML            |      1,158 |          0 |         99 |      1,257 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\cookie-processor.html                                                                 | HTML            |        132 |          0 |         34 |        166 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\credentialhandler.html                                                                | HTML            |        136 |          0 |         31 |        167 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\engine.html                                                                           | HTML            |        177 |          0 |         42 |        219 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\config\executor.html                                                                         | HTML            |         69 |          0 |         13 |         82 |
